file_name,entropy,uncompressed_size,npz_compression_ratio,npz_compressed_image_size
n04235860_954,7.792071043528209,115200,1.1391954432182272,101124
n04179913_12566,7.203707435558298,562500,1.3906159996242247,404497
n07716358_37992,7.821402398087763,499500,1.0724706761396208,465747
n02123597_12342,7.516536449049639,164430,1.467823571945047,112023
n02096294_6980,7.753123334074608,499500,1.0779978375298636,463359
n04311004_9785,7.813236779966944,421500,1.2104625316615645,348214
n09421951_18852,7.665963640442494,562500,1.616198184686199,348039
n02319095_6451,7.0140749730562275,562500,1.2008992333459294,468399
n02088238_14694,6.580619486111359,589824,3.0382000247249352,194136
n02669723_3114,7.791878939895061,131262,1.4390869622418103,91212
n03179701_28086,7.221842803230554,725880,2.3056765229986373,314823
n02231487_1525,7.595456950832204,562500,1.5776409709854295,356545
n09835506_4958,7.742323649383301,499500,1.102259687527584,453160
n04501370_12042,7.861212462032403,230400,1.235448359438257,186491
n03016953_8226,7.822390710314123,329184,1.5500275458744757,212373
n03791053_30514,7.630578850366332,522720,1.178220767628682,443652
n03982430_20933,7.6808149891840305,499500,1.4560007928572887,343063
n07720875_7490,7.370325101343131,508950,1.3001560851494305,391453
n01694178_6534,7.7992921447167936,1279200,1.956573610116917,653796
n04443257_7352,7.551855624268542,42333,1.0659733588497469,39713
n02749479_30014,7.638561200462654,115920,1.1942143651872914,97068
n01824575_12061,5.8732153748742135,562500,2.169427463987504,259285
n04540053_14640,6.929487350870134,559500,1.6622745382323143,336587
n03026506_1464,7.454053240031481,432000,1.2791055735841013,337736
n07831146_6245,7.5982700054200025,1620000,1.6094676437393696,1006544
n01843383_305,7.798826470415937,499500,1.0690323063917218,467245
n01883070_7602,7.9189255362345135,562500,1.0766065361979043,522475
n02769748_36273,6.941314681405615,498000,2.2225495052819024,224067
n02442845_22650,7.218876153948065,318000,1.2503047126265048,254338
n04467665_61362,7.744468801749612,414000,1.283032667747224,322673
n02093647_3674,7.763096241336192,211500,1.212215000515836,174474
n01532829_22085,7.6738752648111666,562500,1.1789017456129136,477139
n02105641_10330,7.7777008070907065,650442,1.3310781773755878,488658
n02097047_2121,7.7193523697843345,562500,1.1602315925390405,484817
n03874293_13480,7.7198761789897485,505500,1.1931287115626092,423676
n01537544_3114,6.744595357519157,436500,1.6852240788213855,259016
n03841143_10851,6.371347317899553,562500,1.5997656521071402,351614
n02699494_13060,7.702104314659837,776160,2.0061308782250435,386894
n03492542_39256,7.657599967072765,498000,1.3649519800026313,364848
n04540053_9512,7.874188776825675,645000,1.1596276965838626,556213
n04371774_6568,7.53211706085764,550800,2.4205349962426337,227553
n01774384_2959,7.243728720175173,499500,1.5215020682680769,328294
n03379051_7963,5.551467263863176,600000,2.793114042846369,214814
n02815834_1978,7.245796483953991,2368110,2.4359487363588577,972151
n03594945_31162,7.745407630408548,518400,1.6929889877336677,306204
n03777568_18799,7.513789820792948,810000,1.2441765624783998,651033
n02776631_32719,7.661972326061713,5952000,1.3216724752602764,4503385
n02489166_10686,7.6861817334617895,423000,1.3704355263541554,308661
n13054560_5181,7.678813910885774,562500,1.1088747434803092,507271
n12620546_21034,7.599889248942484,562500,1.0963053049482836,513087
n02074367_2520,7.226989492984029,32103,1.2520670826833074,25640
n07613480_18966,7.4187469665031625,562500,1.2441937624419377,452100
n01817953_9264,7.57538824935217,562500,1.2833412044927208,438309
n03000247_2253,7.699570421215118,132480,1.0673971719776014,124115
n01883070_3244,7.721682554155525,2359296,1.4185963730819182,1663120
n02071294_17,7.655532531365563,562500,1.1601047703508156,484870
n03447721_22597,3.974363362112362,201000,3.1124669010049706,64579
n02071294_8934,7.748601675552548,562500,1.1334761345340456,496261
n02346627_7377,7.55462012664047,600000,1.3912527303334832,431266
n09428293_48603,7.691502418839487,499500,1.5962495326296413,312921
n04371774_11435,7.954157194778986,5760000,1.104986366079681,5212734
n02808304_14818,7.300139233891437,5760000,1.8673839668876513,3084529
n02814533_7632,7.692109950637636,562500,1.1222863116983135,501209
n03743016_13628,7.214235151658634,562500,1.3222320687701714,425417
n01532829_11266,7.536200093048302,531000,1.1907992258683753,445919
n11879895_274,7.7713865115163685,562500,1.3651719752642972,412036
n03891251_227,7.801945774895941,676500,1.594947094437843,424152
n01694178_8037,5.807370365533199,506493,2.365794759213415,214090
n07590611_10019,7.7042643691186825,360000,1.3051375288671043,275833
n04428191_32950,7.671040206168822,122250,1.2160791023396467,100528
n01616318_4554,7.924682908300454,562500,1.0349014773793535,543530
n01945685_1698,7.612084203507831,562500,1.0601106284335806,530605
n04120489_5600,7.447736973111964,562500,1.1649990783562847,482833
n01518878_25064,7.652434229517229,499500,1.1309630280374678,441659
n04462240_10287,7.880389933552241,562500,1.0711368141629993,525143
n01644373_4102,4.506184548748092,600000,2.681600200226148,223747
n02101388_1195,6.66435233368001,1425636,1.4621517785166755,975026
n02939185_20138,7.651683459491197,562500,1.3552257504939045,415060
n02102040_1753,7.3274715795186065,505500,1.126507581362595,448732
n03710193_12874,7.8811949064121505,562500,1.1770835949074656,477876
n13037406_8807,7.963662656545917,943326,1.0598263519070281,890076
n02011460_1320,7.369028290953888,439500,1.1158787386380948,393860
n02099429_3865,7.229365972298832,468300,1.3632195618950587,343525
n01622779_5425,6.693568706893813,720000,1.670184880187432,431090
n02110341_7771,7.87876056186143,562500,1.0403642847102517,540676
n01773797_2101,5.161926533689295,720000,1.9256640197701507,373897
n03775071_690,7.904376651394475,600000,1.0179636654835666,589412
n07583066_5098,7.848269510999008,562500,1.1232791363630918,500766
n01665541_12193,7.137414806075358,498000,1.7162057379167743,290175
n01795545_2947,7.665022990883048,281298,1.297188866139118,216852
n03871628_10680,7.663402437970256,565500,1.1612243473118324,486986
n02641379_38308,5.619962013845751,2013000,2.301381514864661,874692
